source_id,period_days,transit_depth_ppm,planet_radius_re,stellar_radius_rs,snr,epoch,label_raw,mission,label_coarse,label_binary
K05913.01,89.366114,494.0,1.97,0.875,6.3,208.893,CANDIDATE,KEPLER,CANDIDATE,0
K05914.01,422.255426,1935.0,5.09,1.139,17.4,160.6562,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05915.01,37.6259039,411.0,1.81,0.871,11.7,167.22072,CANDIDATE,KEPLER,CANDIDATE,0
K05916.01,100.41475198,,,,,134.1167095,CANDIDATE,KEPLER,CANDIDATE,0
K05917.01,41.9934673,293.7,1.56,0.915,9.4,143.89297,CANDIDATE,KEPLER,CANDIDATE,0
K05918.01,94.67782,287.0,1.46,0.866,5.9,187.4731,CANDIDATE,KEPLER,CANDIDATE,0
K05919.01,290.196139,281.0,2.35,1.403,15.7,264.8759,CANDIDATE,KEPLER,CANDIDATE,0
K05920.01,471.39698,329.9,1.87,1.008,13.1,247.0802,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05921.01,175.452812,141.8,3.96,3.304,6.1,204.8241,CANDIDATE,KEPLER,CANDIDATE,0
K05922.01,367.07446,368.3,2.15,1.116,6.6,182.838,CANDIDATE,KEPLER,CANDIDATE,0
K05923.01,366.684634,456.3,10.75,4.962,9.1,315.09143,CANDIDATE,KEPLER,CANDIDATE,0
K05924.01,291.306507,1132.0,2.49,0.748,7.1,362.2906,CANDIDATE,KEPLER,CANDIDATE,0
K05925.01,93.006,125.4,1.97,1.742,6.7,144.36,CANDIDATE,KEPLER,CANDIDATE,0
K05926.01,26.46288074,,,,,133.4096502,CANDIDATE,KEPLER,CANDIDATE,0
K05927.01,436.42852,163.9,1.26,0.971,9.2,452.2705,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05928.01,20.69920737,,,,,132.7199526,CANDIDATE,KEPLER,CANDIDATE,0
K05929.01,466.002988,2363.6,4.92,0.876,42.3,435.01156,CANDIDATE,KEPLER,CANDIDATE,0
K05930.01,302.77571,1106.0,1.0,0.303,7.1,323.5739,CANDIDATE,KEPLER,CANDIDATE,0
K05931.01,115.19952922,,,,,218.1108918,CANDIDATE,KEPLER,CANDIDATE,0
K05932.01,355.86134,1220.7,2.79,0.801,15.2,358.0075,CANDIDATE,KEPLER,CANDIDATE,0
K05933.01,236.506437,744.4,10.37,3.9,10.6,361.9687,CANDIDATE,KEPLER,CANDIDATE,0
K05934.01,19.3854894,4560.0,6.13,0.913,5.0,142.34859,CANDIDATE,KEPLER,CANDIDATE,0
K05935.01,416.87893121,,,,,227.5106644,CANDIDATE,KEPLER,CANDIDATE,0
K05936.01,48.38798413,,,,,176.4653521,CANDIDATE,KEPLER,CANDIDATE,0
K05937.01,357.588538,344.8,3.53,1.876,7.2,250.4138,CANDIDATE,KEPLER,CANDIDATE,0
K05938.01,545.205601,199.7,1.66,1.155,7.1,237.24091,CANDIDATE,KEPLER,CANDIDATE,0
K05939.01,105.053389,176.7,1.52,1.13,5.8,208.7282,CANDIDATE,KEPLER,CANDIDATE,0
K05940.01,24.7967294,970.5,3.14,0.776,13.8,131.91,CANDIDATE,KEPLER,CANDIDATE,0
