z_period_days,z_transit_depth_ppm,z_planet_radius_re,z_stellar_radius_rs,z_snr,label_binary,label_coarse,mission
-0.22587788305840145,-0.2602067528545927,-0.3979767045281733,-0.46839186657437887,-0.20033540720853266,1,CONFIRMED,KEPLER
-0.05648086938053408,-0.24654687852707355,-0.38778891643214425,-0.49351560914354214,-0.10418329155271659,1,CONFIRMED,KEPLER
0.546497970473627,-0.26960604256977977,-0.4363768288901288,-0.49351560914354214,-0.22930431384842595,1,CONFIRMED,KEPLER
-0.3385711033560749,-0.08658092894142981,-0.041012283163464315,-0.23868907737059966,1.1624359242979374,1,CONFIRMED,KEPLER
-0.3615917516228136,-0.2654374705828783,-0.2631844312576355,-0.3930206388668888,-0.1693119681828313,0,FALSE POSITIVE,KEPLER
-0.34326645636343617,-0.27344656954427626,-0.4371605048975156,-0.34008132416758036,-0.20793717703602238,1,CONFIRMED,KEPLER
-0.1887871669452277,-0.04729553843147579,-0.03278368508590245,-0.25573733125681775,0.7862510444564859,0,FALSE POSITIVE,KEPLER
-0.3339539404617951,-0.2706141809005851,-0.40424611258726806,-0.23420269476896344,0.07394466629684004,1,CONFIRMED,KEPLER
0.033345508586108845,-0.22677816598074585,-0.3039355836417516,-0.2709910321023811,0.02134863722015435,1,CONFIRMED,KEPLER
-0.30396337456174033,-0.2618129732506972,-0.42070330874239187,-0.503385650867142,-0.1793791768732907,1,CONFIRMED,KEPLER
-0.3470714538892984,-0.252897749956254,-0.3458622500369479,-0.21984627044372723,-0.004333017602446091,1,CONFIRMED,KEPLER
-0.3604171123543047,0.05367831660632864,-0.041012283163464315,-0.35264319545216205,2.621770277937385,1,CONFIRMED,KEPLER
-0.04317671293695733,-0.11255049233199665,-0.23183739096216166,-0.5769623255339776,0.2165292138719177,0,FALSE POSITIVE,KEPLER
-0.3515126375927812,-0.2741126609414155,-0.4453891029750775,-0.38673970322459794,-0.19540452948259338,1,CONFIRMED,KEPLER
-0.34395489080420627,-0.2624270575117235,-0.3920991344727719,-0.29880660423252636,-0.12246862978640813,1,CONFIRMED,KEPLER
-0.27311863698597066,-0.2621750229290222,-0.3646704742142322,-0.29880660423252636,-0.19067910499523488,1,CONFIRMED,KEPLER
-0.1200410111263672,-0.25242568518230546,-0.39915221853925353,-0.5249202873549964,-0.16951742142141213,1,CONFIRMED,KEPLER
-0.2507771647777263,-0.27241242764541446,-0.41600125269807076,-0.30149843379350805,-0.0869252195119291,1,CONFIRMED,KEPLER
-0.3164823483053772,-0.2787993040149808,-0.44930748301201173,-0.23420269476896344,-0.17177740704580097,1,CONFIRMED,KEPLER
-0.3132535063959206,0.20633926384256543,0.06948603387808108,-0.3517459189318348,1.4482213791638348,0,FALSE POSITIVE,KEPLER
-0.2220872191834234,-0.2601027385823667,-0.44107888493444986,-0.6577172123634312,-0.2091698964675072,1,CONFIRMED,KEPLER
-0.30882108098918887,-0.2565222472884351,-0.4348094768753551,-0.6577172123634312,-0.18903547908658846,1,CONFIRMED,KEPLER
-0.017570262144993392,-0.2601987517567292,-0.44147072293814327,-0.6577172123634312,-0.22396252964532506,1,CONFIRMED,KEPLER
-0.35111694845909364,-0.1781034871279342,-0.28356000744969356,-0.48364556741994225,0.44067869716357433,1,CONFIRMED,KEPLER
0.022945755218180305,-0.15751066150166249,-0.22517614489937346,-0.5087693099891056,-0.1927336373810429,0,CANDIDATE,KEPLER
-0.36626011940275033,-0.26621157680117524,-0.44147072293814327,-0.7034783149001216,-0.18862457260942683,1,CONFIRMED,KEPLER
